mul_name,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
mul8_000,NO,NO,22.0,27036.0,98.5271,0.001515,17812.410643,0.019879,0.005638,0.019879,0.005638,165.891531,0.077675,0.864899,820.0,5.6
mul8_001,NO,NO,224.4375,58536.652344,239.955505,0.00369,51330.199192,0.053604,0.018969,0.053604,0.018969,330.013399,0.147793,0.981689,1671.0,1.0
mul8_002,NO,NO,321.328613,104631.27507,329.88147,0.005073,99061.568714,0.066968,0.023656,0.066968,0.023656,455.942269,0.167753,0.984818,2193.0,7.0
mul8_003,NO,NO,150.210938,657335.248474,624.46875,0.009604,289937.354492,0.099976,0.033447,0.099976,0.033447,824.559624,0.208427,0.989838,2911.0,7.0
mul8_004,NO,NO,194.101563,671878.739685,639.226532,0.00983,300943.59706,0.097626,0.025564,0.097626,0.025564,842.350376,0.187337,0.990707,3143.0,2.53125
mul8_005,NO,NO,80.210938,644900.521912,588.798157,0.009055,304651.047028,0.084001,0.022248,0.084001,0.022248,807.052858,0.171185,0.990646,2790.0,3.0
mul8_006,NO,NO,0.046875,271.997803,0.265625,4e-06,271.929443,0.000141,0.000246,0.000141,0.000246,16.492423,0.015687,0.000259,1024.0,1.996101
mul8_007,NO,NO,27.09375,14277.428711,70.449219,0.001083,10048.407578,0.012099,0.002342,0.012099,0.002342,122.521427,0.049883,0.625443,648.0,1.0
mul8_008,NO,NO,194.335938,672000.922302,639.436493,0.009834,300888.350429,0.097821,0.025674,0.097821,0.025674,842.476931,0.187733,0.990753,3143.0,2.53125
mul8_009,NO,NO,146.139648,20397.808623,154.742126,0.00238,17809.479766,0.041017,0.014979,0.041017,0.014979,204.339437,0.129078,0.974319,754.0,7.999999
mul8_010,NO,NO,44.125,5311.484375,58.756714,0.000904,3806.148576,0.017934,0.005955,0.017934,0.005955,85.196831,0.079225,0.935059,452.0,7.0
mul8_011,NO,NO,45.544922,643216.483821,579.740967,0.008916,309191.235148,0.083011,0.022237,0.083011,0.022237,803.299959,0.170669,0.991043,2887.0,3.0
mul8_012,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_013,NO,NO,212.296875,128623.786865,221.842041,0.003412,124479.858838,0.038826,0.010981,0.038826,0.010981,416.765822,0.111754,0.875381,1424.0,2.0
mul8_014,NO,NO,150.025391,22023.650723,164.687195,0.002533,17409.396416,0.03947,0.013651,0.03947,0.013651,211.024332,0.123324,0.978363,858.0,1.0
mul8_015,NO,NO,50.625,2207.140625,52.956543,0.000814,1965.635807,0.018117,0.004906,0.018117,0.004906,69.065413,0.07235,0.921936,304.0,1.0
mul8_016,NO,NO,0.546875,3327.700928,13.0,0.0002,3159.0,0.003257,0.001165,0.003257,0.001165,57.68882,0.034289,0.050781,256.0,0.992248
mul8_017,NO,NO,139.210938,646449.389099,618.338623,0.009509,283486.421468,0.099586,0.033444,0.099586,0.033444,815.983501,0.208235,0.989853,2815.0,7.0
mul8_018,NO,NO,53.304688,633586.926697,575.585754,0.008852,305129.355745,0.081119,0.021597,0.081119,0.021597,797.764575,0.167861,0.990585,2898.0,7.0
mul8_019,NO,NO,387.695313,286092.965759,496.457825,0.007635,189930.249381,0.087821,0.033501,0.087821,0.033501,660.606253,0.203011,0.989716,3075.0,7.0
mul8_020,NO,NO,41.375,642174.65625,577.686615,0.008884,310164.721736,0.081878,0.021163,0.081878,0.021163,802.425415,0.166935,0.989746,2896.0,3.03125
mul8_021,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_022,NO,NO,175.0,70106.875,234.824524,0.003611,45589.317963,0.058293,0.021917,0.058293,0.021917,317.382852,0.159107,0.982422,1600.0,1.0
mul8_023,NO,NO,150.210938,657335.248474,624.46875,0.009604,289937.354492,0.099976,0.033447,0.099976,0.033447,824.559624,0.208427,0.989838,2911.0,7.0
mul8_024,NO,NO,61.867188,635922.620056,579.857056,0.008917,303515.963942,0.082938,0.022241,0.082938,0.022241,799.84384,0.170646,0.991318,2883.0,3.0
mul8_025,NO,NO,43.351563,641618.782654,578.496124,0.008897,308840.374833,0.081889,0.021626,0.081889,0.021626,802.183358,0.16832,0.98967,2884.0,7.0
mul8_026,NO,NO,8.582031,124430.34874,186.260132,0.002864,89811.163289,0.037359,0.021955,0.037359,0.021955,352.851243,0.152808,0.93251,1804.0,7.818182
mul8_027,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mul8_028,NO,NO,70.875,6831.546875,79.878052,0.001228,5474.309347,0.022672,0.006393,0.022672,0.006393,108.879808,0.083108,0.946838,545.0,2.0
mul8_029,NO,NO,13.625,298.859375,13.953125,0.000215,289.810303,0.00475,0.000675,0.00475,0.000675,22.011361,0.026415,0.694824,98.0,1.0
mul8_030,NO,NO,27.0625,2306.433594,40.557373,0.000624,1393.911992,0.014702,0.004013,0.014702,0.004013,55.125425,0.065028,0.924927,268.0,1.5
mul8_031,NO,NO,176.671875,151656.923584,198.015015,0.003045,143659.928974,0.031847,0.013218,0.031847,0.013218,427.632874,0.119298,0.780396,1092.0,5.881081
mul8_032,NO,NO,15.0,415.109375,18.816895,0.000289,286.033855,0.007626,0.002103,0.007626,0.002103,25.300383,0.046486,0.877625,102.0,5.999999
mul8_033,NO,NO,135.109375,18543.68335,137.647888,0.002117,17851.285441,0.030808,0.007257,0.030808,0.007257,191.828639,0.090587,0.958557,817.0,1.0
mul8_034,NO,NO,104.253906,548733.326157,398.865601,0.006134,400508.435794,39062.553284,779724116930.9651,39062.553284,779724116930.9651,748.065641,883883.476483,0.935745,2824.0,20000000.0
mul8_035,NO,NO,15.0,3109.0,28.636719,0.00044,2513.938339,0.010949,0.003617,0.010949,0.003617,57.7408,0.061131,0.731567,280.0,2.0
mul8_036,NO,NO,67.3125,36406.402344,157.316528,0.002419,16188.884917,0.047132,0.017486,0.047132,0.017486,202.329867,0.140382,0.984924,875.0,2.0
mul8_037,NO,NO,212.855469,458274.393173,393.10791,0.006045,349048.014723,0.051683,0.013981,0.051683,0.013981,709.635007,0.129044,0.889236,3204.0,4.0
mul8_038,NO,NO,106.664063,9415.738708,109.333923,0.001681,8839.054145,0.028093,0.007357,0.028093,0.007357,144.197645,0.090254,0.957825,657.0,1.0
mul8_039,NO,NO,20.34375,6104.631836,64.767578,0.000996,2323.660824,9765.649083,97560882098.00568,9765.649083,97560882098.00568,80.737228,312500.0,0.929443,201.0,10000000.0
mul8_040,NO,NO,135.657227,19929.982116,151.298065,0.002327,15441.760705,0.037833,0.013494,0.037833,0.013494,195.787807,0.12217,0.977203,1032.0,3.5625
