mul_name,retrained_acc,net,dataset,concat
ReFAM_sta4_j8_k1_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k7_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j6_k4_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j8_k2_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k2_const0,0.3310999870300293,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k2_const0,0.7623000144958496,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j5_k3_const0,0.23919999599456787,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k3_const1,0.7508000135421753,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k1_const1,0.7681000232696533,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k2_const0,0.7559999823570251,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k1_const0,0.7610999941825867,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k6_const1,0.10249999910593033,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j7_k3_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j5_k4_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k2_const1,0.7577000260353088,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k6_const0,0.26030001044273376,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k6_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j4_k3_const0,0.29429998993873596,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j6_k1_const1,0.7182000279426575,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j5_k3_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j1_k9_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k5_const0,0.708299994468689,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j8_k2_const1,0.1005999967455864,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k6_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k2_const0,0.49050000309944153,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j5_k1_const0,0.4909000098705292,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k5_const1,0.20640000700950623,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k3_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k6_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k5_const1,0.09929999709129333,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k2_const0,0.7340999841690063,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k5_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k7_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k5_const0,0.4625999927520752,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j1_k5_const0,0.46380001306533813,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j2_k4_const1,0.7459999918937683,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k7_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k8_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k5_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k9_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j5_k2_const1,0.2502000033855438,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j4_k1_const0,0.7523000240325928,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k2_const1,0.7533000111579895,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k8_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k6_const1,0.5365999937057495,vgg16,cifar10,vgg16cifar10
