mul_name,untrained_acc,net,dataset,concat,classify,single-sided,zero-error,mue_ED0,var_ED0,mue_ED,NMED,var_ED,mue_RED,var_RED,mue_ARED,var_ARED,RMS_ED,RMS_RED,ER,WCE,WCRE
ReFAM_new_sta1_j1_k6,0.5041000247001648,resnet18,mnist,resnet18mnist,2,NO,NO,13.4375,1170.433594,17.121094,0.000263,1057.868149,0.003444,0.000257,0.003444,0.000257,36.755952,0.016404,0.368164,186.0,0.421769
ReFAM_sta2_j7_k2_const1,0.10000000149011612,vgg16,cifar,vgg16cifar,2,NO,YES,72.0,71584.0,220.726563,0.003394,28047.784607,10000.0,20000.0,10000.0,20000.0,277.070388,10000.0,0.900024,896.0,4480000000.0
ReFAM_new1_sta4_j1_k2,0.10000000149011612,resnet18,cifar,resnet18cifar,2,NO,YES,1000.0,84058.0,1092.0,0.5,89872.0,10000.0,20000.0,10000.0,20000.0,3000.0,10000.0,0.999969,5000.0,655340000000.0
mul8_336,0.1290999948978424,vgg16,cifar,vgg16cifar,2,NO,NO,48.677734,84058.0,328.499634,0.005052,89872.0,0.063263,0.019075,0.063263,0.019075,446.846013,0.151911,0.96843,1264.0,8.0
ReFAM_new2_sta1_j4_k1,0.8276000022888184,resnet18,mnist,resnet18mnist,2,NO,NO,4.5,275.75,9.0,0.000138,215.0,0.003731,0.001474,0.003731,0.001474,17.204651,0.038571,0.320313,48.0,2.0
ReFAM_new1_sta4_j6_k2,0.10100000351667404,vgg16,mnist,vgg16mnist,2,NO,YES,1000.0,84058.0,1092.0,0.5,89872.0,10000.0,20000.0,10000.0,20000.0,3000.0,10000.0,0.999969,5000.0,655340000000.0
ReFAM_new_sta3_j2_k3,0.9175999760627747,resnet18,cifar,resnet18cifar,0,NO,NO,0.40625,34.084961,2.484375,3.8e-05,28.077881,0.000847,6.9e-05,0.000847,6.9e-05,5.85235,0.008364,0.207031,20.0,0.444444
mul8_188,0.11349999904632568,resnet34,mnist,resnet34mnist,2,NO,NO,204.46875,47250.170898,230.709229,0.003548,35830.892503,0.053225,0.01986,0.053225,0.01986,298.425268,0.150642,0.978333,1304.0,4.333333
ReFAM_new2_sta2_j5_k3,0.978600025177002,vgg16,mnist,vgg16mnist,0,NO,NO,56.0,23344.0,109.875,0.00169,14407.484375,0.043046,0.035339,0.043046,0.035339,162.726765,0.192853,0.668091,480.0,2.0
ReFAM_sta3_j6_k4_const1,0.10000000149011612,resnet34,cifar,resnet34cifar,2,NO,YES,80.3125,84058.0,408.787109,0.006287,89153.099209,10000.0,20000.0,10000.0,20000.0,506.221295,10000.0,0.974457,1920.0,9920000000.0
ReFAM_new_sta2_j4_k3,0.26980000734329224,resnet34,cifar,resnet34cifar,2,NO,NO,8.3125,1310.902344,23.3125,0.000359,836.527344,0.004363,0.000184,0.004363,0.000184,37.148351,0.014249,0.514771,120.0,0.311111
ReFAM_new1_sta2_j6_k1,0.10000000149011612,resnet34,cifar,resnet34cifar,2,NO,YES,44.5,5331.75,55.4375,0.000853,4238.683594,10000.0,20000.0,10000.0,20000.0,85.510233,10000.0,0.499023,192.0,1920000000.0
ReFAM_new2_sta1_j1_k6,0.08959999680519104,resnet34,mnist,resnet34mnist,2,NO,NO,24.5,5664.75,46.417969,0.000714,4110.372177,0.014515,0.009672,0.014515,0.009672,79.151753,0.099413,0.580078,254.0,2.0
ReFAM_new2_sta3_j1_k4,0.010200000368058681,resnet34,cifar100,resnet34cifar100,2,NO,NO,22.75,377.4375,22.867188,0.000352,372.091736,0.013555,0.008763,0.013555,0.008763,29.916551,0.094588,0.890625,62.0,2.0
